Study,Year,Test arm,AI algorithm / architecture,Number of human readers,Reader experience (yrs),Reader age,Reader sex (F),Validation type,Reference standard,Threshold / cut-off,Unit
Chen (2025),2025,TVGH-Green Channel,EfficientNetV2-M fine-tuned on green-channel images,n/r,n/r,n/r,n/r,external,ONH changes + visual field defects + OCT RNFL (TVGH); expert majority/consensus (external),Youden index on validation set with sensitivity ≥80% constraint,image
Chen (2025),2025,TVGH-Preprocessing,EfficientNetV2-M on green-channel + CLAHE + unsharp masking preprocessed images,n/r,n/r,n/r,n/r,external,ONH changes + visual field defects + OCT RNFL (TVGH); expert majority/consensus (external),Youden index on validation set with sensitivity ≥80% constraint,image
Chen (2025),2025,TVGH-Segmentation,"DeepLabV3+ (MobileNet-V2 backbone, Dice Loss) for ROI segmentation + EfficientNetV2-M classifier trained on segmented ROI",n/r,n/r,n/r,n/r,external,ONH changes + visual field defects + OCT RNFL (TVGH); expert majority/consensus (external),Youden index on validation set with sensitivity ≥80% constraint,image
Chen (2025),2025,TVGH-Weighted,"DeepLabV3+ (MobileNet-V2) segmentation + EfficientNetV2-M classifier on weighted images (ROI pixels retained, non-ROI down-weighted by 50%)",n/r,n/r,n/r,n/r,external,ONH changes + visual field defects + OCT RNFL (TVGH); expert majority/consensus (external),Youden index on validation set with sensitivity ≥80% constraint,image
Cho (2024),2024,Proposed attention-based multi-input CNN,"Multi-input CNN with attention (ResU-Net for retinal vessel segmentation; Hough Circle Transform for optic disc; 4-layer CNN modules, filters 64/128/256/512 then 2048/4096/4096, ReLU + Softmax)",n/r,n/r,n/r,n/r,internal,ophthalmologist diagnostic labels from ODIR dataset,n/r,image
Thakoor (2021)a,2021,CNN A (RNFL map model),ResNet18 + Random Forest,1,n/r,n/r,n/r,external,RS1 RNFL-Map: full Hood report rated by single OCT expert (DCH),>50% glaucomatous probability,eye
Thakoor (2021)a,2021,CNN A (RNFL map model) — consensus RS,ResNet18 + Random Forest,n/r,n/r,n/r,n/r,external,RS4 RNFL-Map: consensus of multiple experts using OCT + visual field,>50% glaucomatous probability,eye
Thakoor (2021)a,2021,"CNN B (b-scan model, trained from scratch)",Custom 3-convolutional-block CNN with 2 dense layers,1,n/r,n/r,n/r,external,RS1 B-Scan: cpRNFL report rated by single OCT expert (DCH),>50% glaucomatous probability,eye
Thakoor (2021)a,2021,"CNN C (b-scan model, pretrained)",ResNet50 + Random Forest,1,n/r,n/r,n/r,external,RS1 B-Scan: cpRNFL report rated by single OCT expert (DCH),>50% glaucomatous probability,eye
Thakoor (2021)a,2021,CNN C (b-scan model) — consensus RS,ResNet50 + Random Forest,n/r,n/r,n/r,n/r,external,RS4 B-Scan: consensus of multiple experts using OCT + visual field,>50% glaucomatous probability,eye
Christopher (2020),2020,UCSD Original,ResNet50 (ImageNet pretraining; trained on DIGS/ADAGES),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image
Christopher (2020),2020,UCSD Sequential,ResNet50 (ImageNet pretraining; trained on DIGS/ADAGES then weights updated on MRCH),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image
Christopher (2020),2020,UCSD Combined,ResNet50 (ImageNet pretraining; trained on pooled DIGS/ADAGES + MRCH),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image
Christopher (2020),2020,UTokyo Original,ResNet34 (ImageNet pretraining; trained on MRCH),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image
Christopher (2020),2020,UTokyo Sequential,ResNet34 (ImageNet pretraining; trained on MRCH then weights updated on DIGS/ADAGES),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image
Christopher (2020),2020,UTokyo Combined,ResNet34 (ImageNet pretraining; trained on pooled MRCH + DIGS/ADAGES),n/r,n/r,n/r,n/r,both,Two independent graders with consensus/adjudication on stereoscopic fundus photographs (DIGS/ADAGES testing); expert fundus+OCT consensus (MRCH/Iinan/Hiroshima); single expert grader on fundus (ACRIMA),"sensitivity reported at fixed specificities of 80%, 85%, 90%, 95%",image
Chuter (2026),2026,Unimodal CFP RETFound,RETFound (ViT-based SSL foundation model) fine-tuned with fully connected sigmoid layer,n/r,n/r,n/r,n/r,internal,CFP-based glaucomatous optic neuropathy by 2 expert reviewers with adjudication,"80%, 90%, and 95% specificity operating points",image
Chuter (2026),2026,Unimodal OCT RETFound,RETFound (ViT-based SSL foundation model) fine-tuned with fully connected sigmoid layer,n/r,n/r,n/r,n/r,internal,CFP-based glaucomatous optic neuropathy by 2 expert reviewers with adjudication,"80%, 90%, and 95% specificity operating points",image
Chuter (2026),2026,Multimodal CFP + OCT RETFound,Dual RETFound encoders with concatenated outputs through ReLU and fully connected sigmoid classification layers,n/r,n/r,n/r,n/r,internal,CFP-based glaucomatous optic neuropathy by 2 expert reviewers with adjudication,"80%, 90%, and 95% specificity operating points",image
Noury (2022),2022,3D CNN — Stanford internal test,3D DenseNet-style CNN (De Fauw et al. classification architecture),n/r,n/r,n/r,n/r,internal,Multimodal: fundus disc changes + OCT RNFL/GCIPL defects + Hodapp-Anderson-Parrish VF defect + IOP-lowering treatment,Maximum F2 score on validation set,image
Noury (2022),2022,3D CNN — Hong Kong external,3D DenseNet-style CNN (De Fauw et al. classification architecture),n/r,n/r,n/r,n/r,external,RNFL thickness/deviation map defects correlating with VF defect (Hodapp-Anderson-Parrish); labelled by 2 glaucoma specialists independently,Maximum F2 score on validation set,image
Noury (2022),2022,3D CNN — India external,3D DenseNet-style CNN (De Fauw et al. classification architecture),n/r,>10,n/r,n/r,external,Same multimodal definition as Stanford training set; labelled by glaucoma specialists with >10 years experience,Maximum F2 score on validation set,image
Noury (2022),2022,3D CNN — Nepal external,3D DenseNet-style CNN (De Fauw et al. classification architecture),n/r,>10,n/r,n/r,external,Same multimodal definition as Stanford training set; labelled by glaucoma specialists with >10 years experience,Maximum F2 score on validation set,image
Noury (2022),2022,3D CNN vs human grader — Stanford subset (100 cases),3D DenseNet-style CNN (De Fauw et al. classification architecture),1,n/r,n/r,n/r,internal,"Multimodal ground truth (fundus, OCT RNFL/GCIPL, IOP, VF, history/exam); human grader (DC) was glaucoma fellowship-trained",Matched specificity (94%) for comparison,image
Noury (2022),2022,3D CNN with DiagFind — cropped ONH scans (Stanford),3D DenseNet-style CNN retrained with random cropping data augmentation (DiagFind),n/r,n/r,n/r,n/r,internal,Multimodal definition (as Stanford training set),n/r,image
Gomez-Valverde (2019),2019,VGG19 TL,"VGG19 with transfer learning (ImageNet pre-trained, fine-tuned)",15,>5 (experts); <5 (non-experts),n/r,n/r,internal,Consensus of expert ophthalmologists,Youden index,image
Gomez-Valverde (2019),2019,VGG19,VGG19 (full training from scratch),15,>5 (experts); <5 (non-experts),n/r,n/r,internal,Consensus of expert ophthalmologists,Youden index,image
Gomez-Valverde (2019),2019,RESNET TL,"ResNet50 with transfer learning (ImageNet pre-trained, fine-tuned)",15,>5 (experts); <5 (non-experts),n/r,n/r,internal,Consensus of expert ophthalmologists,Youden index,image
Gomez-Valverde (2019),2019,RESNET,ResNet50 (full training from scratch),15,>5 (experts); <5 (non-experts),n/r,n/r,internal,Consensus of expert ophthalmologists,Youden index,image
Gomez-Valverde (2019),2019,GOOGLENET TL,"GoogLeNet (Inception) with transfer learning (ImageNet pre-trained, fine-tuned)",15,>5 (experts); <5 (non-experts),n/r,n/r,internal,Consensus of expert ophthalmologists,Youden index,image
Gomez-Valverde (2019),2019,GOOGLENET,"GoogLeNet (Inception, full training from scratch)",15,>5 (experts); <5 (non-experts),n/r,n/r,internal,Consensus of expert ophthalmologists,Youden index,image
Gomez-Valverde (2019),2019,DENET DISC TL,"DENet Disc (ResNet-based) with transfer learning (ORIGA pre-trained, fine-tuned)",15,>5 (experts); <5 (non-experts),n/r,n/r,internal,Consensus of expert ophthalmologists,Youden index,image
Gomez-Valverde (2019),2019,DENET DISC,"DENet Disc (ResNet-based, full training from scratch)",15,>5 (experts); <5 (non-experts),n/r,n/r,internal,Consensus of expert ophthalmologists,Youden index,image
Gomez-Valverde (2019),2019,STANDARD CNN,Custom 15-layer CNN (full training from scratch),15,>5 (experts); <5 (non-experts),n/r,n/r,internal,Consensus of expert ophthalmologists,Youden index,image
Bowd (2023),2023,Single-modal texture-based en face image,"VGG-16 (ImageNet-pretrained, fine-tuned)",n/r,n/r,n/r,n/r,internal,VF defect + stereophotograph-based optic disc damage,Sensitivities reported at 80% and 95% specificity,eye
Bowd (2023),2023,Single-modal RNFL thickness map,"VGG-16 (ImageNet-pretrained, fine-tuned)",n/r,n/r,n/r,n/r,internal,VF defect + stereophotograph-based optic disc damage,Sensitivities reported at 80% and 95% specificity,eye
Bowd (2023),2023,Single-modal cSLO image,"VGG-16 (ImageNet-pretrained, fine-tuned)",n/r,n/r,n/r,n/r,internal,VF defect + stereophotograph-based optic disc damage,Sensitivities reported at 80% and 95% specificity,eye
Bowd (2023),2023,Multimodal: texture + RNFL thickness,Multi-input VGG-16 (2 parallel subnetworks with feature concatenation),n/r,n/r,n/r,n/r,internal,VF defect + stereophotograph-based optic disc damage,Sensitivities reported at 80% and 95% specificity,eye
Bowd (2023),2023,Multimodal: RNFL thickness + cSLO,Multi-input VGG-16 (2 parallel subnetworks with feature concatenation),n/r,n/r,n/r,n/r,internal,VF defect + stereophotograph-based optic disc damage,Sensitivities reported at 80% and 95% specificity,eye
Bowd (2023),2023,Multimodal: texture + cSLO,Multi-input VGG-16 (2 parallel subnetworks with feature concatenation),n/r,n/r,n/r,n/r,internal,VF defect + stereophotograph-based optic disc damage,Sensitivities reported at 80% and 95% specificity,eye
Bowd (2023),2023,Multimodal: texture + RNFL thickness + cSLO,Multi-input VGG-16 (3 parallel subnetworks with feature concatenation),n/r,n/r,n/r,n/r,internal,VF defect + stereophotograph-based optic disc damage,Sensitivities reported at 80% and 95% specificity,eye
Elangovan (2022),2022,En-ConvNet (DRISHTI-GS1-R),Ensemble of Xception + VGG-16 + ResNet-50 with probability averaging and SVM classifier,n/r,n/r,n/r,n/r,internal,"DRISHTI-GS1 dataset labels (Aravind eye hospital, India)",n/r,image
Elangovan (2022),2022,En-ConvNet (RIM-ONE2-R),Ensemble of ResNet-50 + VGG-19 + DenseNet-201 with probability averaging and SVM classifier,n/r,n/r,n/r,n/r,internal,RIM-ONE2 dataset labels (three Spanish hospitals),n/r,image
Elangovan (2022),2022,En-ConvNet (ORIGA-R),Ensemble of GoogLeNet + VGG-16 + VGG-19 with probability averaging and SVM classifier,n/r,n/r,n/r,n/r,internal,ORIGA dataset labels (Singapore Eye Research Center),n/r,image
Elangovan (2022),2022,En-ConvNet (ACRIMA-R),Ensemble of ResNet-101 + DenseNet-201 + Inception-v3 with probability averaging and SVM classifier,n/r,n/r,n/r,n/r,internal,"ACRIMA dataset labels (ACRIMA project, Spain)",n/r,image
Elangovan (2022),2022,En-ConvNet (LAG-R),Ensemble of ResNet-18 + ResNet-101 + DenseNet-201 with probability averaging and SVM classifier,n/r,n/r,n/r,n/r,internal,LAG dataset labels (Beijing Tongren Hospital),n/r,image
Sivakumar (2025),2025,ViT + ResNet50 hybrid,Vision Transformer (ViT) + ResNet50,n/r,n/r,n/r,n/r,internal,SMDG-19 dataset labels,softmax probability 0.5,image
Sivakumar (2025),2025,OWL-ViT + ResNet50 hybrid (fine-tuned),Object-Window-Location Vision Transformer (OWL-ViT) + ResNet50,n/r,n/r,n/r,n/r,internal,SMDG-19 dataset labels,softmax probability 0.5,image
Sivakumar (2025),2025,"Swin Transformer + ResNet50 hybrid (fine-tuned, best model)",Swin Transformer + ResNet50,n/r,n/r,n/r,n/r,internal,SMDG-19 dataset labels,softmax probability 0.5,image
Eswari (2024),2024,FRCNN,Faster R-CNN (VGG11/TernausNet encoder) with Softmax classifier,n/r,n/r,n/r,n/r,internal,n/r,0.3,image
Eswari (2024),2024,AFRCNN,Faster R-CNN with adaptive gradient (AdaGrad) optimizer,n/r,n/r,n/r,n/r,internal,n/r,n/r,image
Eswari (2024),2024,SVM,FRCNN feature extractor + SVM (RBF kernel) classifier,n/r,n/r,n/r,n/r,internal,n/r,n/r,image
Eswari (2024),2024,AAASVM,FRCNN + SVM (RBF) optimized with Artificial Algae Algorithm,n/r,n/r,n/r,n/r,external,n/r,n/r,image
Lin (2022)b,2022,POAGNet,"Siamese network with DenseNet-201 subnets, 1x1 convolution similarity, side outputs",n/r,n/r,n/r,n/r,internal,"Structural criteria (RNFL defect, rim loss, optic disc hemorrhage)",n/r,image
Camacho-Garcia-Forment (2025),2025,AI (retinIA v3.3.1),U-Net (optic disc and cup segmentation) + Inception V3 (quality assessment); CDR computed from vertical heights,0,n/r,n/r,n/r,external,Average CDR from 3 ophthalmologists; glaucoma suspect = CDR ≥0.6 or inter-eye CDR difference >0.2,CDR ≥ 0.55 (optimized for maximum F1-score),patient
Camacho-Garcia-Forment (2025),2025,First-year ophthalmology residents,n/r,n/r,<1,n/r,n/r,external,Average CDR from 3 ophthalmologists; glaucoma suspect = CDR ≥0.6 or inter-eye CDR difference >0.2,Resident diagnosis (clinical referral decision),patient
Camacho-Garcia-Forment (2025),2025,Synergistic (AI OR Resident),retinIA (Inception V3 + U-Net) combined with resident assessment (positive if either flags),n/r,<1,n/r,n/r,external,Average CDR from 3 ophthalmologists; glaucoma suspect = CDR ≥0.6 or inter-eye CDR difference >0.2,Positive if either AI (CDR ≥0.55) or resident flags glaucoma suspect,patient
Fu (2018),2018,DENet (SCES),"Ensemble of ResNet-50 (global image), U-Net segmentation-guided network, ResNet-50 (local disc), ResNet-50 (disc polar)",n/r,n/r,n/r,n/r,external,n/r,threshold maximizing balanced accuracy,image
Fu (2018),2018,DENet (SINDI),"Ensemble of ResNet-50 (global image), U-Net segmentation-guided network, ResNet-50 (local disc), ResNet-50 (disc polar)",n/r,n/r,n/r,n/r,external,n/r,threshold maximizing balanced accuracy,image
Gaddipati (2021),2021,Fefu model (proposed),VGG-19 (Ff-o + Ff) with FCN fusion; trained with CGAN-mapped OCT features from 3D Capsule network,n/r,n/r,n/r,n/r,internal,dataset-provided expert glaucoma labels,Youden index,image
Gaddipati (2021),2021,Ff-o only,VGG-19 trained on CGAN fundus-to-OCT mapped features,n/r,n/r,n/r,n/r,internal,dataset-provided expert glaucoma labels,Youden index,image
Gaddipati (2021),2021,Ff only,VGG-19 fine-tuned on fundus features,n/r,n/r,n/r,n/r,internal,dataset-provided expert glaucoma labels,Youden index,image
Gaddipati (2021),2021,Fefu model (external cross-validation),VGG-19 (Ff-o + Ff) with FCN fusion,n/r,n/r,n/r,n/r,external,"dataset-provided expert glaucoma labels (Private-2, sjchoi86-HRF)",Youden index,image
Gaddipati (2021),2021,OCT 3D Capsule network,3D Capsule network (Conv-BatchNorm-LeakyReLU-SpatialDropout + dynamic routing),n/r,n/r,n/r,n/r,internal,dataset-provided expert glaucoma labels,Youden index,image
Garcia (2021),2021,Proposed RAGNet-VGG16 + LSTM + SWM,"VGG16 fine-tuned with residual + attention modules (RAGNet) as 2D slide-level feature extractor, followed by LSTM with sequential-weighting module and MLP classifier",n/r,n/r,n/r,n/r,internal,"European Glaucoma Society guideline diagnosis (IOP, gonioscopy, slit-lamp ONH, Octopus perimetry, OCT+HRT RNFL/GCL)",n/r,eye
Garcia (2021),2021,Maetschke et al. (replicated 3D-CNN),3D-CNN trained from scratch (Maetschke et al. 2019),n/r,n/r,n/r,n/r,internal,"European Glaucoma Society guideline diagnosis (IOP, gonioscopy, slit-lamp ONH, Octopus perimetry, OCT+HRT RNFL/GCL)",n/r,eye
Garcia (2021),2021,Ran et al. (replicated 3D-CNN),3D-CNN based on De Fauw et al. architecture (Ran et al. 2019),n/r,n/r,n/r,n/r,internal,"European Glaucoma Society guideline diagnosis (IOP, gonioscopy, slit-lamp ONH, Octopus perimetry, OCT+HRT RNFL/GCL)",n/r,eye
Sharma (2025),2025,MTL_LWBNA-unet (single DL binary classifier) — Testing,Multi-task LWBNA-unet (LWBNA-unet encoder + BNA bottleneck with classification branch),n/r,n/r,n/r,n/r,internal,Expert-labeled glaucoma vs normal (THU clinical workup + AIROGS ICO guidelines),Youden-index optimal (~0.5),image
Sharma (2025),2025,MTL_LWBNA-unet — Miyagi Screening (real-world),Multi-task LWBNA-unet,"1 (screening ophthalmologist for labeling) + 3 glaucoma experts in 230-case sub-review (NT, TN, MS)",n/r,n/r,n/r,external,"Screening ophthalmologist label (Canon fundus camera, Miyagi checkup 2020–2022)",Youden-index optimal,image
Sharma (2025),2025,Cupping parameter-based FFCN — Testing,"Feed-forward fully connected network on segmented disc/cup/fovea parameters (VCDR, HCDR, ACDR, PCDR, disc size index, NRRA/DA, circularity indices)",n/r,n/r,n/r,n/r,internal,Expert-labeled glaucoma vs normal,0.4638,image
Sharma (2025),2025,DH Mask-Assisted Classification — Testing,LWBNA-unet binary classifier with 6-channel input (RGB ROI + DH segmentation mask),n/r,n/r,n/r,n/r,internal,Manually labeled DH+/DH- ROIs,0.4004,image
Sharma (2025),2025,RNFLD Classification — Training validation,LWBNA-unet-based binary classifier (encoder + BNA module),n/r,n/r,n/r,n/r,internal,Manually labeled RNFLD+/RNFLD- fundus images,n/r,image
Sharma (2025),2025,AI-GS network (full) — Testing,Ensemble FFCN integrating MTL_LWBNA-unet + cupping FFCN + DH mask-assisted classifier + RNFLD classifier,n/r,n/r,n/r,n/r,internal,Expert-labeled glaucoma vs normal,Youden-index optimal,image
Sharma (2025),2025,AI-GS network — Miyagi Screening (real-world),Ensemble FFCN (full AI-GS),1 screening ophthalmologist (labeling) + 3 glaucoma experts (sub-analysis of 230 cases),n/r,n/r,n/r,external,"Screening ophthalmologist label (Miyagi checkup, Canon fundus camera)",Youden-index optimal,image
Sharma (2025),2025,AI-GS Adjusted — Miyagi Screening,AI-GS ensemble with rule-based override (cupping>0.65 OR RNFLD>0.8 OR DH>0.75 → positive),1 screening ophthalmologist + 3 glaucoma experts (sub-analysis),n/r,n/r,n/r,external,Screening ophthalmologist label,Cupping >0.65 / RNFLD >0.8 / DH >0.75,image
Govindharaj (2025),2025,GWOA-UNet++ + CapsNet,U-Net++ (GWO-optimized) for optic disc/cup segmentation + Capsule Network (CapsNet) for classification,n/r,n/r,n/r,n/r,internal,ORIGA dataset reference labels,n/r,image
Sangeethaa (2023),2023,Hybrid PolyNet - ACRIMA,"Hybrid PolyNet (CNN with inception layers, MISH activation, nadam optimizer)",n/r,n/r,n/r,n/r,internal,ophthalmologist labels,CDR > 0.5,image
Sangeethaa (2023),2023,Hybrid PolyNet - DRISHTI-GS1,Hybrid PolyNet,n/r,n/r,n/r,n/r,internal,ophthalmologist labels (Indian experts),CDR > 0.5,image
Sangeethaa (2023),2023,Hybrid PolyNet - REFUGE,Hybrid PolyNet,n/r,n/r,n/r,n/r,internal,ophthalmologist labels,CDR > 0.5,image
Sangeethaa (2023),2023,Hybrid PolyNet - ORIGA,Hybrid PolyNet,n/r,n/r,n/r,n/r,internal,ophthalmologist labels,CDR > 0.5,image
Sangeethaa (2023),2023,Hybrid PolyNet - RIM-ONE,Hybrid PolyNet,n/r,n/r,n/r,n/r,internal,ophthalmologist labels,CDR > 0.5,image
Sangeethaa (2023),2023,Hybrid PolyNet - Real-time (Aravind Eye Hospital),Hybrid PolyNet,n/r,n/r,n/r,n/r,internal,ophthalmologist labels,CDR > 0.5,image
Guo (2022)a,2022,DSLN (Yellow race → Caucasian scenario),Dual-tutor student network; modified ResNet50 backbone + CycleGAN + Faster R-CNN (VGG16),n/r,n/r,n/r,n/r,external,"Ophthalmologist image-level labels (RIM-ONE r1/r2/r3, ACRIMA)",n/r,image
Guo (2022)a,2022,DSLN (Caucasian → Mixed race scenario),Dual-tutor student network; modified ResNet50 backbone + CycleGAN + Faster R-CNN (VGG16),n/r,n/r,n/r,n/r,external,Ophthalmologist image-level labels (DRISHTI-GS),n/r,image
Guo (2022)a,2022,DSLN (Mixed race → Yellow race scenario),Dual-tutor student network; modified ResNet50 backbone + CycleGAN + Faster R-CNN (VGG16),n/r,n/r,n/r,n/r,external,"Ophthalmologist image-level labels (LAG, ORIGA, REFUGE)",n/r,image
Haider (2022),2022,SLSR-Net (segmentation-based glaucoma classification) — Rim-One-r3,"SLSR-Net (separable linked segmentation residual network, encoder-decoder with SCL + external residual skip connections; ~4.67M parameters)",n/r,n/r,n/r,n/r,internal,expert-annotated OD/OC masks; vertical CDR threshold for glaucoma label,vertical CDR-based (cutoff not numerically reported),image
Haider (2022),2022,SLSR-Net (segmentation-based glaucoma classification) — REFUGE,SLSR-Net (separable linked segmentation residual network),n/r,n/r,n/r,n/r,internal,expert-annotated OD/OC masks; vertical CDR threshold for glaucoma label,vertical CDR-based (cutoff not numerically reported),image
Haider (2022),2022,SLS-Net (segmentation baseline),"SLS-Net (separable linked segmentation network, encoder-decoder with SCL, no residual connections)",n/r,n/r,n/r,n/r,internal,expert-annotated OD/OC masks,n/r,image
Haider (2022),2022,ResNet-18 (direct classification),ResNet-18 CNN classifier,n/r,n/r,n/r,n/r,internal,dataset-provided glaucoma/non-glaucoma labels (expert),softmax default,image
Haider (2022),2022,ResNet-50 (direct classification),ResNet-50 CNN classifier,n/r,n/r,n/r,n/r,internal,dataset-provided glaucoma/non-glaucoma labels (expert),softmax default,image
Juneja (2022),2022,Fused Network (Major Voting),"Fusion of SVM + k-NN (k=7) + Random Forest (100 trees) + 3D-CNN (5 conv layers, NAdam, lr=0.001)",n/r,n/r,n/r,n/r,internal,n/r,0.57,image
Juneja (2022),2022,k-NN (reduced features),"k-Nearest Neighbours (k=7, Euclidean) on 53 selected features (Statistical + GLCM + GLRM, Wavelet-LLL)",n/r,n/r,n/r,n/r,internal,n/r,0.5,image
Juneja (2022),2022,SVM (reduced features),"Support Vector Machine (RBF kernel, gamma=0.44) on 53 selected features",n/r,n/r,n/r,n/r,internal,n/r,0.5,image
Juneja (2022),2022,Random Forest (reduced features),Random Forest (100 trees) on 53 selected features,n/r,n/r,n/r,n/r,internal,n/r,0.5,image
Juneja (2022),2022,3D-CNN,"3D Convolutional Neural Network (5 conv layers, ReLU, batch-norm, GAP, sigmoid; NAdam, lr=0.001, 25 epochs)",n/r,n/r,n/r,n/r,internal,n/r,0.5,image
Bajwa (2019),2019,DCNN glaucoma classifier on extracted optic disc (10-fold CV),"Custom Deep CNN (4 convolutional + 3 fully connected layers, AlexNet-inspired; ReLU, LRN, MaxPooling, dropout 0.5)",n/r,n/r,n/r,n/r,internal,ORIGA expert-annotated glaucoma labels,sensitivity reported at fixed specificity of 85% (71.17%); AUC operating point not otherwise specified,image
Hassan (2019),2019,VGG-16-B (Dataset-OD),"VGG-16, SGD optimizer, ImageNet pre-trained",n/r,n/r,n/r,n/r,internal,ophthalmologist labeling (Samsung Medical Center),softmax argmax,image
Hassan (2019),2019,VGG-16-M (Dataset-OD),"VGG-16 modified, ADAM optimizer, dropout, augmentation",n/r,n/r,n/r,n/r,internal,ophthalmologist labeling (Samsung Medical Center),softmax argmax,image
Hassan (2019),2019,ResNet-152-B (Dataset-OD),"ResNet-152, SGD optimizer, ImageNet pre-trained",n/r,n/r,n/r,n/r,internal,ophthalmologist labeling (Samsung Medical Center),softmax argmax,image
Hassan (2019),2019,ResNet-152-M (Dataset-OD) — best model,"ResNet-152 modified, ADAM optimizer, dropout, augmentation, 299x299 input",n/r,n/r,n/r,n/r,internal,ophthalmologist labeling (Samsung Medical Center),softmax argmax,image
Hassan (2019),2019,Inception-v4-B (Dataset-OD),"Inception-v4, RMSProp, ImageNet pre-trained",n/r,n/r,n/r,n/r,internal,ophthalmologist labeling (Samsung Medical Center),softmax argmax,image
Hassan (2019),2019,Inception-v4-M (Dataset-OD),"Inception-v4 modified, RMSProp, dropout, augmentation",n/r,n/r,n/r,n/r,internal,ophthalmologist labeling (Samsung Medical Center),softmax argmax,image
Hassan (2019),2019,"ResNet-152-M (Dataset-C, center-cropped)","ResNet-152 modified, ADAM optimizer, dropout, augmentation",n/r,n/r,n/r,n/r,internal,ophthalmologist labeling (Samsung Medical Center),softmax argmax,image
Hassan (2019),2019,ResNet-152-M external test on RIM-ONE r3,"ResNet-152 modified (trained on Dataset-C), 5-fold evaluation",n/r,n/r,n/r,n/r,external,RIM-ONE r3 expert labels,softmax argmax,image
Hemelings (2020),2020,ResNet-50 + transfer + active learning (uncertainty sampling),"ResNet-50 (ImageNet-pretrained, last 12 layers unfrozen; Adam, binary cross-entropy)",2,n/r,n/r,n/r,internal,Glaucoma-expert clinical diagnosis from full ophthalmologic exam (OCT/HRT + tonometry + VF) at University Hospitals Leuven,0.5 (patient-level average probability),patient
Hemelings (2020),2020,ResNet-50 + transfer + active learning (random sampling control),"ResNet-50 (ImageNet-pretrained, last 12 layers unfrozen)",2,n/r,n/r,n/r,internal,Glaucoma-expert clinical diagnosis from full ophthalmologic exam (OCT/HRT + tonometry + VF) at University Hospitals Leuven,0.5 (patient-level average probability),patient
Hemelings (2020),2020,"Baseline ResNet-50 (full training set, 4935 images)","ResNet-50 (ImageNet-pretrained, last 12 layers unfrozen)",2,n/r,n/r,n/r,internal,Glaucoma-expert clinical diagnosis from full ophthalmologic exam (OCT/HRT + tonometry + VF) at University Hospitals Leuven,0.5 (patient-level average probability),patient
Pascal (2022),2022,MTL-IO (from scratch),"U-Net with VGG-16 backbone, multi-task learning with independent optimizers",n/r,n/r,n/r,n/r,internal,Expert human annotations (REFUGE challenge ground truth),0.5,image
Pascal (2022),2022,MTL-IO (with transfer learning),"U-Net with VGG-16 backbone pre-trained on ImageNet/Messidor 2, multi-task with independent optimizers",n/r,n/r,n/r,n/r,internal,Expert human annotations (REFUGE challenge ground truth),0.5,image
Pascal (2022),2022,STL (single-task learner),"U-Net with VGG-16 backbone, single-task (glaucoma detection only)",n/r,n/r,n/r,n/r,internal,Expert human annotations (REFUGE challenge ground truth),0.5,image
Pascal (2022),2022,Vanilla MTL,"U-Net with VGG-16 backbone, multi-task with standard aggregated loss",n/r,n/r,n/r,n/r,internal,Expert human annotations (REFUGE challenge ground truth),0.5,image
Pascal (2022),2022,GradNorm,"U-Net with VGG-16 backbone, multi-task with gradient normalization",n/r,n/r,n/r,n/r,internal,Expert human annotations (REFUGE challenge ground truth),0.5,image
Pascal (2022),2022,PCGrad,"U-Net with VGG-16 backbone, multi-task with projected conflicting gradients",n/r,n/r,n/r,n/r,internal,Expert human annotations (REFUGE challenge ground truth),0.5,image
Hung (2022),2022,"DLS binary screening (image-based, no demographics)","EfficientNet-b0 (CNN, ImageNet pretrained)",n/r,n/r,n/r,n/r,internal,Anderson's VF criteria with optic disc/RNFL/OCT confirmation,n/r,image
